Bus_Routes_Name,Bus_Routes_links,Bus_name,Bus_type,Departing_time,Duration,Reaching_time,Star_rating,Price,Seat_availability
Delhi to Srinagar,https://www.redbus.in/bus-tickets/delhi-to-srinagar,Zingbus Plus,A/C Sleeper (2+1),21:35,19h 50m,17:25,4.9,2184,"15 Seats available
4 Single"
Delhi to Srinagar,https://www.redbus.in/bus-tickets/delhi-to-srinagar,Zingbus Plus,A/C Sleeper (2+1),21:35,19h 50m,17:25,4.9,2184,"15 Seats available
4 Single"
Delhi to Srinagar,https://www.redbus.in/bus-tickets/delhi-to-srinagar,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),20:00,19h 20m,15:20,4.5,2103,"12 Seats available
2 Single"
Delhi to Srinagar,https://www.redbus.in/bus-tickets/delhi-to-srinagar,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),20:00,19h 20m,15:20,4.5,2103,"12 Seats available
2 Single"
Delhi to Srinagar,https://www.redbus.in/bus-tickets/delhi-to-srinagar,Big Bus,A/C Seater / Sleeper (2+2),17:35,18h 24m,11:59,2.9,3239,"23 Seats available
1 Single"
Delhi to Srinagar,https://www.redbus.in/bus-tickets/delhi-to-srinagar,Big Bus,A/C Seater / Sleeper (2+2),17:35,18h 24m,11:59,2.9,3239,"23 Seats available
1 Single"
Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,Bhawani Travels,A/C Seater / Sleeper (2+2),19:50,01h 40m,21:30,3.8,INR 400,"47 Seats available
19 Window"
Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,Bhawani Travels,A/C Seater / Sleeper (2+2),19:50,01h 40m,21:30,3.8,INR 400,"47 Seats available
19 Window"
Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,Bhawani Travels,A/C Seater / Sleeper (2+2),20:00,01h 45m,21:45,3.8,INR 400,"36 Seats available
14 Window"
Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,Bhawani Travels,A/C Seater / Sleeper (2+2),20:00,01h 45m,21:45,3.8,INR 400,"36 Seats available
14 Window"
Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,Namdev Travels,NON A/C Seater (2+2),16:00,02h 00m,18:00,N/A,INR 100,"34 Seats available
15 Window"
Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,Namdev Travels,NON A/C Seater (2+2),16:00,02h 00m,18:00,N/A,INR 100,"34 Seats available
15 Window"
Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu,FlixBus,Bharat Benz A/C Sleeper (2+1),18:30,01h 30m,20:00,4.2,INR 88.39,"26 Seats available
12 Single"
Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu,FlixBus,Bharat Benz A/C Sleeper (2+1),18:30,01h 30m,20:00,4.2,INR 88.39,"26 Seats available
12 Single"
Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),18:45,01h 25m,20:10,4.5,INR 103,"42 Seats available
12 Single"
Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),18:45,01h 25m,20:10,4.5,INR 103,"42 Seats available
12 Single"
Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),VE A/C Seater / Sleeper (2+1),19:00,01h 00m,20:00,3.7,INR 899,"36 Seats available
10 Single"
Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),VE A/C Seater / Sleeper (2+1),19:00,01h 00m,20:00,3.7,INR 899,"36 Seats available
10 Single"
Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu,City Land Travels,A/C Seater/Sleeper (2+1),19:00,01h 30m,20:30,3.6,540,"28 Seats available
11 Single"
Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu,City Land Travels,A/C Seater/Sleeper (2+1),19:00,01h 30m,20:30,3.6,540,"28 Seats available
11 Single"
Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu,KN Nehra Travels,A/C Seater / Sleeper (2+1),19:00,01h 30m,20:30,3.0,INR 599,"30 Seats available
8 Single"
Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu,KN Nehra Travels,A/C Seater / Sleeper (2+1),19:00,01h 30m,20:30,3.0,INR 599,"30 Seats available
8 Single"
